02/08/2023 08:23:11 | Info | User | Fropops-5acae1bd-3416-41e8-a6d7-d79919260b2a |  | Connexion to TeamServer
02/08/2023 08:23:12 | Info | User | Fropops-5acae1bd-3416-41e8-a6d7-d79919260b2a |  | Connexion to TeamServer
02/08/2023 08:23:31 | Info | User | Fropops-5acae1bd-3416-41e8-a6d7-d79919260b2a | 284680d461 | Command tasked to agent : Shell
02/08/2023 08:25:24 | Info | User | Fropops-8ccede72-e682-4db6-80f0-98617f8eb639 |  | Connexion to TeamServer
02/08/2023 08:25:25 | Info | User | Fropops-8ccede72-e682-4db6-80f0-98617f8eb639 |  | Connexion to TeamServer
02/08/2023 08:26:45 | Info | User | Fropops-8ccede72-e682-4db6-80f0-98617f8eb639 | 298e51281f | Command tasked to agent : Proxy
02/08/2023 08:28:20 | Info | User | Fropops-626cd4a5-4a77-47b5-87f0-0f6b35d80e9d |  | Connexion to TeamServer
02/08/2023 08:28:20 | Info | User | Fropops-626cd4a5-4a77-47b5-87f0-0f6b35d80e9d |  | Connexion to TeamServer
02/08/2023 08:29:04 | Info | User | Fropops-76c7d469-a472-41e1-90a9-1675e10034b1 |  | Connexion to TeamServer
02/08/2023 08:29:05 | Info | User | Fropops-76c7d469-a472-41e1-90a9-1675e10034b1 |  | Connexion to TeamServer
02/08/2023 08:31:44 | Info | User | Fropops-fe42794c-fa62-4681-a2bc-d9796faaedbf |  | Connexion to TeamServer
02/08/2023 08:31:45 | Info | User | Fropops-fe42794c-fa62-4681-a2bc-d9796faaedbf |  | Connexion to TeamServer
02/08/2023 08:32:37 | Info | User | Fropops-91846702-83f9-4d5c-b7af-48f1e88e37d6 |  | Connexion to TeamServer
02/08/2023 08:32:38 | Info | User | Fropops-91846702-83f9-4d5c-b7af-48f1e88e37d6 |  | Connexion to TeamServer
02/08/2023 08:33:54 | Info | User | Fropops-a4832f4b-26c0-4279-995f-247fd00d941d |  | Connexion to TeamServer
02/08/2023 08:33:55 | Info | User | Fropops-a4832f4b-26c0-4279-995f-247fd00d941d |  | Connexion to TeamServer
02/08/2023 08:34:55 | Info | User | Fropops-bb71d9b5-8130-4782-be0d-16cad28c7a66 |  | Connexion to TeamServer
02/08/2023 08:34:56 | Info | User | Fropops-bb71d9b5-8130-4782-be0d-16cad28c7a66 |  | Connexion to TeamServer
