10/08/2023 08:46:39 | Info | User | Fropops-a99df372-97de-4817-a1e9-18d064fe46f8 |  | Connexion to TeamServer
10/08/2023 08:46:40 | Info | User | Fropops-a99df372-97de-4817-a1e9-18d064fe46f8 |  | Connexion to TeamServer
10/08/2023 08:47:49 | Info | User | Fropops-baeee5e9-d33b-40a1-aa6a-662136879f82 |  | Connexion to TeamServer
10/08/2023 08:47:50 | Info | User | Fropops-baeee5e9-d33b-40a1-aa6a-662136879f82 |  | Connexion to TeamServer
10/08/2023 08:48:03 | Info | User | Fropops-baeee5e9-d33b-40a1-aa6a-662136879f82 | 1cbd10fd35 | Command tasked to agent : Shell
10/08/2023 08:48:11 | Info | User | Fropops-baeee5e9-d33b-40a1-aa6a-662136879f82 | 1cbd10fd35 | Command tasked to agent : CheckIn
10/08/2023 08:48:42 | Info | User | Fropops-baeee5e9-d33b-40a1-aa6a-662136879f82 | 1cbd10fd35 | Command tasked to agent : Ls
10/08/2023 08:48:44 | Info | User | Fropops-baeee5e9-d33b-40a1-aa6a-662136879f82 | 1cbd10fd35 | Command tasked to agent : Sleep
10/08/2023 08:49:15 | Info | User | Fropops-baeee5e9-d33b-40a1-aa6a-662136879f82 | 1cbd10fd35 | Command tasked to agent : Ls
10/08/2023 08:49:27 | Info | User | Fropops-baeee5e9-d33b-40a1-aa6a-662136879f82 | 1cbd10fd35 | Command tasked to agent : Download
10/08/2023 08:51:31 | Info | User | Fropops-baeee5e9-d33b-40a1-aa6a-662136879f82 |  | Exit TeamServer
10/08/2023 09:16:25 | Info | User | Fropops-44040290-6c57-4f53-a44f-3ba7db8f35d0 |  | Connexion to TeamServer
10/08/2023 09:16:26 | Info | User | Fropops-44040290-6c57-4f53-a44f-3ba7db8f35d0 |  | Connexion to TeamServer
10/08/2023 09:17:13 | Info | User | Fropops-e49f150c-c0ef-4d0e-bc7c-fc7ec895866b |  | Connexion to TeamServer
10/08/2023 09:17:14 | Info | User | Fropops-e49f150c-c0ef-4d0e-bc7c-fc7ec895866b |  | Connexion to TeamServer
