17/08/2023 08:48:31 | Info | User | Fropops-12b2f931-b584-4f47-ba64-50485649d437 |  | Connexion to TeamServer
17/08/2023 08:48:32 | Info | User | Fropops-12b2f931-b584-4f47-ba64-50485649d437 |  | Connexion to TeamServer
17/08/2023 08:50:02 | Info | User | Fropops-12b2f931-b584-4f47-ba64-50485649d437 | c12b3db177 | Command tasked to agent : Link
17/08/2023 08:51:25 | Info | User | Fropops-625c5887-26a7-4fde-9410-b6793f5e2ac9 |  | Connexion to TeamServer
17/08/2023 08:51:26 | Info | User | Fropops-625c5887-26a7-4fde-9410-b6793f5e2ac9 |  | Connexion to TeamServer
17/08/2023 08:51:44 | Info | User | Fropops-625c5887-26a7-4fde-9410-b6793f5e2ac9 | e426615fd5 | Command tasked to agent : Link
17/08/2023 08:51:54 | Info | User | Fropops-625c5887-26a7-4fde-9410-b6793f5e2ac9 | aaad5689fb | Command tasked to agent : Shell
17/08/2023 08:52:10 | Info | User | Fropops-625c5887-26a7-4fde-9410-b6793f5e2ac9 | aaad5689fb | Command tasked to agent : Exit
17/08/2023 08:52:14 | Info | User | Fropops-625c5887-26a7-4fde-9410-b6793f5e2ac9 | aaad5689fb | Command tasked to agent : Link
17/08/2023 08:53:22 | Info | User | Fropops-625c5887-26a7-4fde-9410-b6793f5e2ac9 | 3748249a06 | Command tasked to agent : Link
17/08/2023 08:53:29 | Info | User | Fropops-625c5887-26a7-4fde-9410-b6793f5e2ac9 | 3748249a06 | Command tasked to agent : Link
17/08/2023 08:53:38 | Info | User | Fropops-625c5887-26a7-4fde-9410-b6793f5e2ac9 | 3748249a06 | Command tasked to agent : Link
17/08/2023 08:54:05 | Info | User | Fropops-625c5887-26a7-4fde-9410-b6793f5e2ac9 | 3748249a06 | Command tasked to agent : Link
17/08/2023 09:00:28 | Info | User | Fropops-5871d531-fae5-4be2-a5f5-fa35d5e9a9e6 |  | Connexion to TeamServer
17/08/2023 09:00:29 | Info | User | Fropops-5871d531-fae5-4be2-a5f5-fa35d5e9a9e6 |  | Connexion to TeamServer
17/08/2023 09:01:53 | Info | User | Fropops-5871d531-fae5-4be2-a5f5-fa35d5e9a9e6 | 3214cc3eaf | Command tasked to agent : Link
17/08/2023 09:02:00 | Info | User | Fropops-5871d531-fae5-4be2-a5f5-fa35d5e9a9e6 | 3214cc3eaf | Command tasked to agent : Link
17/08/2023 09:02:11 | Info | User | Fropops-5871d531-fae5-4be2-a5f5-fa35d5e9a9e6 | 3214cc3eaf | Command tasked to agent : Link
17/08/2023 09:02:38 | Info | User | Fropops-5871d531-fae5-4be2-a5f5-fa35d5e9a9e6 | 3214cc3eaf | Command tasked to agent : Link
17/08/2023 09:02:48 | Info | User | Fropops-5871d531-fae5-4be2-a5f5-fa35d5e9a9e6 | 3214cc3eaf | Command tasked to agent : Link
17/08/2023 09:08:35 | Info | User | Fropops-ee0b007d-5fde-45f2-a032-0aa3354a5146 |  | Connexion to TeamServer
17/08/2023 09:08:36 | Info | User | Fropops-ee0b007d-5fde-45f2-a032-0aa3354a5146 |  | Connexion to TeamServer
17/08/2023 09:09:06 | Info | User | Fropops-ee0b007d-5fde-45f2-a032-0aa3354a5146 | d9fdddb4f0 | Command tasked to agent : Link
17/08/2023 09:09:27 | Info | User | Fropops-ee0b007d-5fde-45f2-a032-0aa3354a5146 | d9fdddb4f0 | Command tasked to agent : Link
