18/07/2023 07:56:08 | Info | User | Fropops-44264ffa-8a27-4f96-a95b-cac1a5f3eb52 |  | Connexion to TeamServer
18/07/2023 07:56:09 | Info | User | Fropops-44264ffa-8a27-4f96-a95b-cac1a5f3eb52 |  | Connexion to TeamServer
18/07/2023 07:56:27 | Info | User | Fropops-44264ffa-8a27-4f96-a95b-cac1a5f3eb52 | 5c233534ee | Command tasked to agent : CheckIn
18/07/2023 07:56:34 | Info | User | Fropops-44264ffa-8a27-4f96-a95b-cac1a5f3eb52 | 5c233534ee | Command tasked to agent : Whoami
18/07/2023 15:34:42 | Info | User | Fropops-7a3f6c6b-512e-4a9d-8d04-0027d8aec2a0 |  | Connexion to TeamServer
18/07/2023 15:34:43 | Info | User | Fropops-7a3f6c6b-512e-4a9d-8d04-0027d8aec2a0 |  | Connexion to TeamServer
18/07/2023 15:35:02 | Info | User | Fropops-7a3f6c6b-512e-4a9d-8d04-0027d8aec2a0 | 560ae11883 | Command tasked to agent : Exit
18/07/2023 15:35:08 | Info | User | Fropops-7a3f6c6b-512e-4a9d-8d04-0027d8aec2a0 | 560ae11883 | Command tasked to agent : Exit
18/07/2023 15:40:59 | Info | User | Fropops-0048e5c5-eb70-401d-b282-fda6a0d4fc8e |  | Connexion to TeamServer
18/07/2023 15:41:00 | Info | User | Fropops-0048e5c5-eb70-401d-b282-fda6a0d4fc8e |  | Connexion to TeamServer
18/07/2023 15:42:12 | Info | User | Fropops-7321c577-741e-4af6-bdf0-704f1d2f5930 |  | Connexion to TeamServer
18/07/2023 15:42:13 | Info | User | Fropops-7321c577-741e-4af6-bdf0-704f1d2f5930 |  | Connexion to TeamServer
18/07/2023 15:42:26 | Info | User | Fropops-7321c577-741e-4af6-bdf0-704f1d2f5930 | 97a41ac466 | Command tasked to agent : CheckIn
18/07/2023 15:42:40 | Info | User | Fropops-7321c577-741e-4af6-bdf0-704f1d2f5930 | 97a41ac466 | Command tasked to agent : Whoami
18/07/2023 15:43:15 | Info | User | Fropops-7321c577-741e-4af6-bdf0-704f1d2f5930 | d1faee5132 | Command tasked to agent : CheckIn
18/07/2023 15:43:51 | Info | User | Fropops-7321c577-741e-4af6-bdf0-704f1d2f5930 | cc65dfac90 | Command tasked to agent : CheckIn
18/07/2023 15:45:18 | Info | User | Fropops-3ab51863-6e80-4093-bc5e-ad42cff228bb |  | Connexion to TeamServer
18/07/2023 15:45:19 | Info | User | Fropops-3ab51863-6e80-4093-bc5e-ad42cff228bb |  | Connexion to TeamServer
18/07/2023 15:45:24 | Info | User | Fropops-3ab51863-6e80-4093-bc5e-ad42cff228bb | 11aeca2e32 | Command tasked to agent : CheckIn
18/07/2023 15:45:46 | Info | User | Fropops-3ab51863-6e80-4093-bc5e-ad42cff228bb | 11aeca2e32 | Command tasked to agent : Whoami
18/07/2023 15:46:37 | Info | User | Fropops-3ab51863-6e80-4093-bc5e-ad42cff228bb | 11aeca2e32 | Command tasked to agent : Exit
18/07/2023 15:54:11 | Info | User | Fropops-f2082140-5caf-4c3e-bea5-ea98cbc6561f |  | Connexion to TeamServer
18/07/2023 15:54:12 | Info | User | Fropops-f2082140-5caf-4c3e-bea5-ea98cbc6561f |  | Connexion to TeamServer
18/07/2023 15:55:20 | Info | User | Fropops-91a578be-abe7-4882-b19c-ba9647399a6c |  | Connexion to TeamServer
18/07/2023 15:55:20 | Info | User | Fropops-91a578be-abe7-4882-b19c-ba9647399a6c |  | Connexion to TeamServer
18/07/2023 15:55:29 | Info | User | Fropops-91a578be-abe7-4882-b19c-ba9647399a6c | 6896cbf3ff | Command tasked to agent : Whoami
18/07/2023 15:55:36 | Info | User | Fropops-91a578be-abe7-4882-b19c-ba9647399a6c | 6896cbf3ff | Command tasked to agent : Exit
18/07/2023 15:56:45 | Info | User | Fropops-cc09cdd0-6e93-4ac2-95e5-702afe534919 |  | Connexion to TeamServer
18/07/2023 15:56:46 | Info | User | Fropops-cc09cdd0-6e93-4ac2-95e5-702afe534919 |  | Connexion to TeamServer
18/07/2023 15:56:57 | Info | User | Fropops-cc09cdd0-6e93-4ac2-95e5-702afe534919 | c94d059742 | Command tasked to agent : Whoami
18/07/2023 15:57:05 | Info | User | Fropops-cc09cdd0-6e93-4ac2-95e5-702afe534919 | c94d059742 | Command tasked to agent : Exit
18/07/2023 16:18:16 | Info | User | Fropops-728ee0e0-2f8f-4489-901d-4a50079f8ff7 |  | Connexion to TeamServer
18/07/2023 16:18:17 | Info | User | Fropops-728ee0e0-2f8f-4489-901d-4a50079f8ff7 |  | Connexion to TeamServer
18/07/2023 16:18:27 | Info | User | Fropops-728ee0e0-2f8f-4489-901d-4a50079f8ff7 | cec4817018 | Command tasked to agent : Cat
18/07/2023 16:18:46 | Info | User | Fropops-728ee0e0-2f8f-4489-901d-4a50079f8ff7 | cec4817018 | Command tasked to agent : Cat
18/07/2023 16:24:08 | Info | User | Fropops-3381a21e-78b5-47fe-a015-0e6498d65d50 |  | Connexion to TeamServer
18/07/2023 16:24:08 | Info | User | Fropops-3381a21e-78b5-47fe-a015-0e6498d65d50 |  | Connexion to TeamServer
18/07/2023 16:24:28 | Info | User | Fropops-3381a21e-78b5-47fe-a015-0e6498d65d50 | b32d9b80b4 | Command tasked to agent : Cat
18/07/2023 16:25:20 | Info | User | Fropops-3381a21e-78b5-47fe-a015-0e6498d65d50 | b32d9b80b4 | Command tasked to agent : Cat
18/07/2023 16:25:45 | Info | User | Fropops-3381a21e-78b5-47fe-a015-0e6498d65d50 | b32d9b80b4 | Command tasked to agent : Cat
18/07/2023 16:25:52 | Info | User | Fropops-3381a21e-78b5-47fe-a015-0e6498d65d50 | b32d9b80b4 | Command tasked to agent : Cat
18/07/2023 16:28:02 | Info | User | Fropops-28cd70c1-2440-4323-8dab-e52a8398230a |  | Connexion to TeamServer
18/07/2023 16:28:04 | Info | User | Fropops-28cd70c1-2440-4323-8dab-e52a8398230a |  | Connexion to TeamServer
18/07/2023 16:28:07 | Info | User | Fropops-28cd70c1-2440-4323-8dab-e52a8398230a | 4204738dad | Command tasked to agent : Cat
18/07/2023 16:28:19 | Info | User | Fropops-28cd70c1-2440-4323-8dab-e52a8398230a | 4204738dad | Command tasked to agent : Cat
18/07/2023 16:29:18 | Info | User | Fropops-46f7c656-fbe6-4176-82d7-ac9930befce5 |  | Connexion to TeamServer
18/07/2023 16:29:19 | Info | User | Fropops-46f7c656-fbe6-4176-82d7-ac9930befce5 |  | Connexion to TeamServer
18/07/2023 16:29:27 | Info | User | Fropops-46f7c656-fbe6-4176-82d7-ac9930befce5 | 5db61c26d8 | Command tasked to agent : Cat
18/07/2023 16:30:52 | Info | User | Fropops-46f7c656-fbe6-4176-82d7-ac9930befce5 | 5db61c26d8 | Command tasked to agent : Exit
18/07/2023 17:06:47 | Info | User | Fropops-a3064c3b-869e-471f-a624-5482d110ea44 |  | Connexion to TeamServer
18/07/2023 17:06:48 | Info | User | Fropops-a3064c3b-869e-471f-a624-5482d110ea44 |  | Connexion to TeamServer
18/07/2023 17:06:57 | Info | User | Fropops-a3064c3b-869e-471f-a624-5482d110ea44 | e725f6dd34 | Command tasked to agent : Pwd
18/07/2023 17:07:31 | Info | User | Fropops-a3064c3b-869e-471f-a624-5482d110ea44 | e725f6dd34 | Command tasked to agent : Cd
18/07/2023 17:08:52 | Info | User | Fropops-c6c2cf8f-1835-45f8-a0b3-035cd8b7dc33 |  | Connexion to TeamServer
18/07/2023 17:08:53 | Info | User | Fropops-c6c2cf8f-1835-45f8-a0b3-035cd8b7dc33 |  | Connexion to TeamServer
18/07/2023 17:10:16 | Info | User | Fropops-c6c2cf8f-1835-45f8-a0b3-035cd8b7dc33 | 5b8ab6b27c | Command tasked to agent : Pwd
18/07/2023 17:10:18 | Info | User | Fropops-c6c2cf8f-1835-45f8-a0b3-035cd8b7dc33 | 5b8ab6b27c | Command tasked to agent : Cd
18/07/2023 17:10:25 | Info | User | Fropops-c6c2cf8f-1835-45f8-a0b3-035cd8b7dc33 | 5b8ab6b27c | Command tasked to agent : Cd
18/07/2023 17:12:30 | Info | User | Fropops-c6c2cf8f-1835-45f8-a0b3-035cd8b7dc33 | 5b8ab6b27c | Command tasked to agent : Whoami
18/07/2023 17:14:49 | Info | User | Fropops-c6c2cf8f-1835-45f8-a0b3-035cd8b7dc33 | 5b8ab6b27c | Command tasked to agent : Exit
