19/05/2023 11:28:48 | Info | User | Fropops-59d0133e-fa70-4f98-bbdc-e84ba31663bf |  | Connexion to TeamServer
19/05/2023 11:28:49 | Info | User | Fropops-59d0133e-fa70-4f98-bbdc-e84ba31663bf |  | Connexion to TeamServer
19/05/2023 11:29:38 | Info | User | Fropops-59d0133e-fa70-4f98-bbdc-e84ba31663bf |  | Web hosting a - Payload PowerShell x64 https://192.168.174.128:443
19/05/2023 11:30:17 | Info | Agent | 533c1eec64 |  | Agent Checking In
19/05/2023 11:30:43 | Info | User | Fropops-59d0133e-fa70-4f98-bbdc-e84ba31663bf | 533c1eec64 | Command tasked to agent : shell dir
19/05/2023 11:31:54 | Info | User | Fropops-59d0133e-fa70-4f98-bbdc-e84ba31663bf |  | Exit TeamServer
19/05/2023 12:03:01 | Info | User | Fropops-e1ffeb72-37d5-48d4-926a-cb5e31c098a3 |  | Connexion to TeamServer
19/05/2023 12:03:02 | Info | User | Fropops-e1ffeb72-37d5-48d4-926a-cb5e31c098a3 |  | Connexion to TeamServer
19/05/2023 12:03:14 | Info | User | Fropops-e1ffeb72-37d5-48d4-926a-cb5e31c098a3 |  | Web hosting a - Payload PowerShell x64 https://192.168.174.128:443
19/05/2023 12:03:29 | Info | Agent | 6994db5c70 |  | Agent Checking In
19/05/2023 12:04:44 | Info | User | Fropops-e1ffeb72-37d5-48d4-926a-cb5e31c098a3 | 6994db5c70 | Command tasked to agent : terminate
19/05/2023 12:04:50 | Info | User | Fropops-e1ffeb72-37d5-48d4-926a-cb5e31c098a3 |  | Exit TeamServer
19/05/2023 12:04:59 | Info | User | Fropops-f9cb81fa-553c-4225-924a-779cad974bbc |  | Connexion to TeamServer
19/05/2023 12:05:01 | Info | User | Fropops-f9cb81fa-553c-4225-924a-779cad974bbc |  | Connexion to TeamServer
19/05/2023 12:05:07 | Info | User | Fropops-f9cb81fa-553c-4225-924a-779cad974bbc |  | Web hosting a - Payload PowerShell x64 https://192.168.174.128:443
19/05/2023 12:28:53 | Info | User | Fropops-f9cb81fa-553c-4225-924a-779cad974bbc |  | Exit TeamServer
19/05/2023 12:29:05 | Info | User | Fropops-2953e54c-7d14-4c87-96ab-3e8ed6067b13 |  | Connexion to TeamServer
19/05/2023 12:29:06 | Info | User | Fropops-2953e54c-7d14-4c87-96ab-3e8ed6067b13 |  | Connexion to TeamServer
19/05/2023 12:29:10 | Info | User | Fropops-2953e54c-7d14-4c87-96ab-3e8ed6067b13 |  | Web hosting a - Payload PowerShell x64 https://192.168.174.128:443
19/05/2023 12:31:22 | Info | User | Fropops-2953e54c-7d14-4c87-96ab-3e8ed6067b13 |  | Exit TeamServer
19/05/2023 12:31:29 | Info | User | Fropops-baec7cac-eead-4797-b986-0a8785fefe74 |  | Connexion to TeamServer
19/05/2023 12:31:30 | Info | User | Fropops-baec7cac-eead-4797-b986-0a8785fefe74 |  | Connexion to TeamServer
19/05/2023 12:32:49 | Info | User | Fropops-baec7cac-eead-4797-b986-0a8785fefe74 |  | Web hosting a - Payload PowerShell x64 https://192.168.174.128:443
19/05/2023 12:59:58 | Info | User | Fropops-baec7cac-eead-4797-b986-0a8785fefe74 |  | Exit TeamServer
19/05/2023 13:00:15 | Info | User | Fropops-2b51166a-1a91-4235-80d9-17d65a4a37eb |  | Connexion to TeamServer
19/05/2023 13:00:16 | Info | User | Fropops-2b51166a-1a91-4235-80d9-17d65a4a37eb |  | Connexion to TeamServer
19/05/2023 13:00:19 | Info | User | Fropops-2b51166a-1a91-4235-80d9-17d65a4a37eb |  | Web hosting a - Payload PowerShell x64 https://192.168.174.128:443
19/05/2023 13:02:15 | Info | User | Fropops-2b51166a-1a91-4235-80d9-17d65a4a37eb |  | Web hosting a - Payload PowerShell x64 https://192.168.174.128:443
19/05/2023 13:08:37 | Info | Agent | 17e1e2c9e9 |  | Agent Checking In
19/05/2023 13:08:53 | Info | User | Fropops-2b51166a-1a91-4235-80d9-17d65a4a37eb |  | Exit TeamServer
19/05/2023 13:09:17 | Info | User | Fropops-36b65004-af1f-4ee0-ab4d-4b236871f942 |  | Connexion to TeamServer
19/05/2023 13:09:19 | Info | User | Fropops-36b65004-af1f-4ee0-ab4d-4b236871f942 |  | Connexion to TeamServer
