20/07/2023 08:14:10 | Info | User | Fropops-20828877-ef61-4bf2-8ad9-3023d7036401 |  | Connexion to TeamServer
20/07/2023 08:14:11 | Info | User | Fropops-20828877-ef61-4bf2-8ad9-3023d7036401 |  | Connexion to TeamServer
20/07/2023 08:14:15 | Info | User | Fropops-20828877-ef61-4bf2-8ad9-3023d7036401 | 0578a4b1ac | Command tasked to agent : Shell
20/07/2023 08:14:24 | Info | User | Fropops-20828877-ef61-4bf2-8ad9-3023d7036401 | 0578a4b1ac | Command tasked to agent : Shell
20/07/2023 08:14:33 | Info | User | Fropops-20828877-ef61-4bf2-8ad9-3023d7036401 | 0578a4b1ac | Command tasked to agent : Shell
20/07/2023 08:14:43 | Info | User | Fropops-20828877-ef61-4bf2-8ad9-3023d7036401 | 0578a4b1ac | Command tasked to agent : Shell
20/07/2023 08:15:13 | Info | User | Fropops-20828877-ef61-4bf2-8ad9-3023d7036401 | 0578a4b1ac | Command tasked to agent : Shell
20/07/2023 08:16:01 | Info | User | Fropops-86e2d149-5c6a-4c96-830a-a21234b84617 |  | Connexion to TeamServer
20/07/2023 08:16:02 | Info | User | Fropops-86e2d149-5c6a-4c96-830a-a21234b84617 |  | Connexion to TeamServer
20/07/2023 08:16:10 | Info | User | Fropops-86e2d149-5c6a-4c96-830a-a21234b84617 | 4b68124be6 | Command tasked to agent : Shell
20/07/2023 08:16:26 | Info | User | Fropops-86e2d149-5c6a-4c96-830a-a21234b84617 | 4b68124be6 | Command tasked to agent : Shell
20/07/2023 08:16:36 | Info | User | Fropops-86e2d149-5c6a-4c96-830a-a21234b84617 | 4b68124be6 | Command tasked to agent : Shell
20/07/2023 08:16:46 | Info | User | Fropops-86e2d149-5c6a-4c96-830a-a21234b84617 | 4b68124be6 | Command tasked to agent : Shell
20/07/2023 08:16:51 | Info | User | Fropops-86e2d149-5c6a-4c96-830a-a21234b84617 | 4b68124be6 | Command tasked to agent : Shell
20/07/2023 08:17:00 | Info | User | Fropops-86e2d149-5c6a-4c96-830a-a21234b84617 | 4b68124be6 | Command tasked to agent : Shell
20/07/2023 08:17:46 | Info | User | Fropops-86e2d149-5c6a-4c96-830a-a21234b84617 | 4b68124be6 | Command tasked to agent : Shell
20/07/2023 08:18:07 | Info | User | Fropops-86e2d149-5c6a-4c96-830a-a21234b84617 | 4b68124be6 | Command tasked to agent : Shell
20/07/2023 08:32:05 | Info | User | Fropops-ff085b90-a747-40c4-8608-c99714171f7a |  | Connexion to TeamServer
20/07/2023 08:32:06 | Info | User | Fropops-ff085b90-a747-40c4-8608-c99714171f7a |  | Connexion to TeamServer
20/07/2023 08:32:24 | Info | User | Fropops-ff085b90-a747-40c4-8608-c99714171f7a | dd87b06f9f | Command tasked to agent : Shell
20/07/2023 08:32:35 | Info | User | Fropops-ff085b90-a747-40c4-8608-c99714171f7a | dd87b06f9f | Command tasked to agent : Shell
20/07/2023 08:32:41 | Info | User | Fropops-ff085b90-a747-40c4-8608-c99714171f7a | dd87b06f9f | Command tasked to agent : Shell
20/07/2023 08:32:47 | Info | User | Fropops-ff085b90-a747-40c4-8608-c99714171f7a | dd87b06f9f | Command tasked to agent : Shell
20/07/2023 08:32:53 | Info | User | Fropops-ff085b90-a747-40c4-8608-c99714171f7a | dd87b06f9f | Command tasked to agent : Shell
20/07/2023 08:49:36 | Info | User | Fropops-787e7a81-d3fe-4e1a-8342-3c773cd99f10 |  | Connexion to TeamServer
20/07/2023 08:49:37 | Info | User | Fropops-787e7a81-d3fe-4e1a-8342-3c773cd99f10 |  | Connexion to TeamServer
20/07/2023 08:50:03 | Info | User | Fropops-787e7a81-d3fe-4e1a-8342-3c773cd99f10 | b805895e1e | Command tasked to agent : Shell
20/07/2023 09:46:37 | Info | User | Fropops-d9ebc456-a313-47db-8acb-831f8ff4772c |  | Connexion to TeamServer
20/07/2023 09:46:38 | Info | User | Fropops-d9ebc456-a313-47db-8acb-831f8ff4772c |  | Connexion to TeamServer
20/07/2023 09:49:03 | Info | User | Fropops-db5fd7ef-c558-45b7-b22a-a6fdf6747bfc |  | Connexion to TeamServer
20/07/2023 09:49:03 | Info | User | Fropops-db5fd7ef-c558-45b7-b22a-a6fdf6747bfc |  | Connexion to TeamServer
20/07/2023 09:50:02 | Info | User | Fropops-122b016e-76a2-4e98-89a7-44dc11c02f33 |  | Connexion to TeamServer
20/07/2023 09:50:03 | Info | User | Fropops-122b016e-76a2-4e98-89a7-44dc11c02f33 |  | Connexion to TeamServer
