20/09/2023 07:50:12 | Info | User | Fropops-61ccdb47-724a-421e-a435-9a7fcba9cffa |  | Connexion to TeamServer
20/09/2023 07:50:13 | Info | User | Fropops-61ccdb47-724a-421e-a435-9a7fcba9cffa |  | Connexion to TeamServer
20/09/2023 07:52:04 | Info | User | Fropops-fef9fd33-11cc-4aec-a327-f24d4422c9d7 |  | Connexion to TeamServer
20/09/2023 07:52:05 | Info | User | Fropops-fef9fd33-11cc-4aec-a327-f24d4422c9d7 |  | Connexion to TeamServer
20/09/2023 07:53:39 | Info | User | Fropops-fe0952bb-95d0-4439-a4ad-8bf0548d3ebb |  | Connexion to TeamServer
20/09/2023 07:53:40 | Info | User | Fropops-fe0952bb-95d0-4439-a4ad-8bf0548d3ebb |  | Connexion to TeamServer
20/09/2023 07:59:02 | Info | User | Fropops-a6928f3d-5b1e-4de3-909d-cf7acc0c84fe |  | Connexion to TeamServer
20/09/2023 07:59:03 | Info | User | Fropops-a6928f3d-5b1e-4de3-909d-cf7acc0c84fe |  | Connexion to TeamServer
20/09/2023 08:01:44 | Info | User | Fropops-a6928f3d-5b1e-4de3-909d-cf7acc0c84fe | RustDroid | Command tasked to agent : Shell
20/09/2023 08:01:52 | Info | User | Fropops-a6928f3d-5b1e-4de3-909d-cf7acc0c84fe | RustDroid | Command tasked to agent : Shell
20/09/2023 08:01:55 | Info | User | Fropops-a6928f3d-5b1e-4de3-909d-cf7acc0c84fe | RustDroid | Command tasked to agent : Shell
20/09/2023 08:35:27 | Info | User | Fropops-b1280fb0-7984-47b3-91db-eaa9395811f0 |  | Connexion to TeamServer
20/09/2023 08:35:28 | Info | User | Fropops-b1280fb0-7984-47b3-91db-eaa9395811f0 |  | Connexion to TeamServer
20/09/2023 08:35:50 | Info | User | Fropops-b1280fb0-7984-47b3-91db-eaa9395811f0 |  | Exit TeamServer
