21/07/2023 08:32:55 | Info | User | Fropops-f31c8793-eff1-4f9f-b76c-84e73ede6f2e | 97437d6e86 | Command tasked to agent : Exit
21/07/2023 08:32:56 | Info | User | Fropops-f31c8793-eff1-4f9f-b76c-84e73ede6f2e |  | Exit TeamServer
21/07/2023 08:33:12 | Info | User | Fropops-cd4f0831-f356-407b-8135-b61ac99574ed |  | Connexion to TeamServer
21/07/2023 08:33:12 | Info | User | Fropops-cd4f0831-f356-407b-8135-b61ac99574ed |  | Connexion to TeamServer
21/07/2023 08:33:51 | Info | User | Fropops-cd4f0831-f356-407b-8135-b61ac99574ed | 97437d6e86 | Command tasked to agent : CheckIn
21/07/2023 08:36:35 | Info | User | Fropops-cd4f0831-f356-407b-8135-b61ac99574ed |  | Exit TeamServer
21/07/2023 08:36:44 | Info | User | Fropops-bb72802c-aea7-4ca2-976e-ab8219708d05 |  | Connexion to TeamServer
21/07/2023 08:36:45 | Info | User | Fropops-bb72802c-aea7-4ca2-976e-ab8219708d05 |  | Connexion to TeamServer
21/07/2023 08:37:41 | Info | User | Fropops-bb72802c-aea7-4ca2-976e-ab8219708d05 | 98239c4f2c | Command tasked to agent : Inject
21/07/2023 08:38:28 | Info | User | Fropops-bb72802c-aea7-4ca2-976e-ab8219708d05 | 98239c4f2c | Command tasked to agent : Inject
21/07/2023 08:38:49 | Info | User | Fropops-bb72802c-aea7-4ca2-976e-ab8219708d05 | 6f9424ae5e | Command tasked to agent : Exit
21/07/2023 08:39:34 | Info | User | Fropops-bb72802c-aea7-4ca2-976e-ab8219708d05 | 98239c4f2c | Command tasked to agent : Inject
21/07/2023 08:40:03 | Info | User | Fropops-bb72802c-aea7-4ca2-976e-ab8219708d05 | 303115bb5a | Command tasked to agent : Exit
21/07/2023 08:41:03 | Info | User | Fropops-bb72802c-aea7-4ca2-976e-ab8219708d05 | 98239c4f2c | Command tasked to agent : Inject
