21/09/2023 08:05:20 | Info | User | Fropops-57a43eea-6852-4099-b56d-885adfea534b |  | Connexion to TeamServer
21/09/2023 08:05:21 | Info | User | Fropops-57a43eea-6852-4099-b56d-885adfea534b |  | Connexion to TeamServer
21/09/2023 08:05:37 | Info | User | Fropops-57a43eea-6852-4099-b56d-885adfea534b | RustDroid | Command tasked to agent : Whoami
21/09/2023 08:06:28 | Info | User | Fropops-57a43eea-6852-4099-b56d-885adfea534b | RustDroid | Command tasked to agent : Whoami
21/09/2023 08:09:01 | Info | User | Fropops-57a43eea-6852-4099-b56d-885adfea534b | RustDroid | Command tasked to agent : Whoami
21/09/2023 08:10:19 | Info | User | Fropops-57a43eea-6852-4099-b56d-885adfea534b | RustDroid | Command tasked to agent : Whoami
21/09/2023 08:11:11 | Info | User | Fropops-57a43eea-6852-4099-b56d-885adfea534b | RustDroid | Command tasked to agent : Whoami
21/09/2023 08:12:10 | Info | User | Fropops-57a43eea-6852-4099-b56d-885adfea534b | RustDroid | Command tasked to agent : Whoami
21/09/2023 08:13:46 | Info | User | Fropops-57a43eea-6852-4099-b56d-885adfea534b | RustDroid | Command tasked to agent : Whoami
21/09/2023 08:18:11 | Info | User | Fropops-57a43eea-6852-4099-b56d-885adfea534b | RustDroid | Command tasked to agent : Whoami
21/09/2023 08:19:15 | Info | User | Fropops-57a43eea-6852-4099-b56d-885adfea534b | RustDroid | Command tasked to agent : Whoami
21/09/2023 08:24:05 | Info | User | Fropops-57a43eea-6852-4099-b56d-885adfea534b | RustDroid | Command tasked to agent : Whoami
21/09/2023 08:25:19 | Info | User | Fropops-57a43eea-6852-4099-b56d-885adfea534b | RustDroid | Command tasked to agent : Whoami
21/09/2023 08:26:25 | Info | User | Fropops-57a43eea-6852-4099-b56d-885adfea534b | RustDroid | Command tasked to agent : Whoami
21/09/2023 08:42:18 | Info | User | Fropops-57a43eea-6852-4099-b56d-885adfea534b | RustDroid | Command tasked to agent : Whoami
21/09/2023 08:45:47 | Info | User | Fropops-57a43eea-6852-4099-b56d-885adfea534b | RustDroid | Command tasked to agent : Whoami
21/09/2023 08:47:48 | Info | User | Fropops-57a43eea-6852-4099-b56d-885adfea534b | RustDroid | Command tasked to agent : Whoami
21/09/2023 08:51:20 | Info | User | Fropops-57a43eea-6852-4099-b56d-885adfea534b | RustDroid | Command tasked to agent : Shell
21/09/2023 08:53:02 | Info | User | Fropops-57a43eea-6852-4099-b56d-885adfea534b | RustDroid | Command tasked to agent : Shell
21/09/2023 08:55:26 | Info | User | Fropops-57a43eea-6852-4099-b56d-885adfea534b | RustDroid | Command tasked to agent : Shell
21/09/2023 08:56:35 | Info | User | Fropops-57a43eea-6852-4099-b56d-885adfea534b | RustDroid | Command tasked to agent : Shell
21/09/2023 08:58:15 | Info | User | Fropops-57a43eea-6852-4099-b56d-885adfea534b | RustDroid | Command tasked to agent : Shell
21/09/2023 09:04:53 | Info | User | Fropops-57a43eea-6852-4099-b56d-885adfea534b | RustDroid | Command tasked to agent : Shell
21/09/2023 09:06:42 | Info | User | Fropops-57a43eea-6852-4099-b56d-885adfea534b | RustDroid | Command tasked to agent : Whoami
21/09/2023 09:14:18 | Info | User | Fropops-57a43eea-6852-4099-b56d-885adfea534b | RustDroid | Command tasked to agent : Whoami
21/09/2023 09:15:21 | Info | User | Fropops-57a43eea-6852-4099-b56d-885adfea534b | RustDroid | Command tasked to agent : Shell
