23/08/2023 05:56:32 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b |  | Web hosting jmp - Payload PowerShell x64 https://192.168.110.51:8000
23/08/2023 05:59:14 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 0291b6fe8d | Command tasked to agent : Pwd
23/08/2023 05:59:22 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 0291b6fe8d | Command tasked to agent : Cd
23/08/2023 05:59:26 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 0291b6fe8d | Command tasked to agent : Ls
23/08/2023 05:59:39 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 0291b6fe8d | Command tasked to agent : Cd
23/08/2023 05:59:41 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 0291b6fe8d | Command tasked to agent : Ls
23/08/2023 05:59:56 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 0291b6fe8d | Command tasked to agent : Cd
23/08/2023 05:59:57 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 0291b6fe8d | Command tasked to agent : Ls
23/08/2023 06:00:11 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 0291b6fe8d | Command tasked to agent : Cat
23/08/2023 07:54:35 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 0291b6fe8d | Command tasked to agent : Cat
23/08/2023 08:08:34 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 0291b6fe8d | Command tasked to agent : Pwd
23/08/2023 08:08:43 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 0291b6fe8d | Command tasked to agent : Cd
23/08/2023 08:08:48 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 0291b6fe8d | Command tasked to agent : Ls
23/08/2023 08:09:00 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 0291b6fe8d | Command tasked to agent : Cd
23/08/2023 08:09:07 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 0291b6fe8d | Command tasked to agent : Ls
