23/09/2023 01:53:58 | Info | User | Fropops-1f215f4c-ce91-4b35-ab74-064fb1d90003 | TULNZNMLY6 | Command tasked to agent : Shell
23/09/2023 02:04:29 | Info | User | Fropops-1f215f4c-ce91-4b35-ab74-064fb1d90003 | YUQNIH7KPP | Command tasked to agent : Shell
23/09/2023 02:04:52 | Info | User | Fropops-1f215f4c-ce91-4b35-ab74-064fb1d90003 | YUQNIH7KPP | Command tasked to agent : Exit
23/09/2023 02:04:54 | Info | User | Fropops-1f215f4c-ce91-4b35-ab74-064fb1d90003 | YUQNIH7KPP | Command tasked to agent : Ls
23/09/2023 02:05:02 | Info | User | Fropops-1f215f4c-ce91-4b35-ab74-064fb1d90003 | WGC8W9P7JW | Command tasked to agent : Exit
23/09/2023 02:05:05 | Info | User | Fropops-1f215f4c-ce91-4b35-ab74-064fb1d90003 | W5C66H023A | Command tasked to agent : Exit
23/09/2023 02:07:00 | Info | User | Fropops-1f215f4c-ce91-4b35-ab74-064fb1d90003 | I9VOUVXK2S | Command tasked to agent : Exit
23/09/2023 02:07:04 | Info | User | Fropops-1f215f4c-ce91-4b35-ab74-064fb1d90003 | Y9ZGKZ3P0M | Command tasked to agent : Shell
23/09/2023 02:23:58 | Info | User | Fropops-1f215f4c-ce91-4b35-ab74-064fb1d90003 | KZDC2F9RT6 | Command tasked to agent : Shell
23/09/2023 02:24:05 | Info | User | Fropops-1f215f4c-ce91-4b35-ab74-064fb1d90003 | KZDC2F9RT6 | Command tasked to agent : Shell
23/09/2023 02:24:16 | Info | User | Fropops-1f215f4c-ce91-4b35-ab74-064fb1d90003 | KZDC2F9RT6 | Command tasked to agent : Shell
23/09/2023 02:24:28 | Info | User | Fropops-1f215f4c-ce91-4b35-ab74-064fb1d90003 | KZDC2F9RT6 | Command tasked to agent : Whoami
23/09/2023 02:24:42 | Info | User | Fropops-1f215f4c-ce91-4b35-ab74-064fb1d90003 | KZDC2F9RT6 | Command tasked to agent : Exit
23/09/2023 02:24:45 | Info | User | Fropops-1f215f4c-ce91-4b35-ab74-064fb1d90003 |  | Exit TeamServer
23/09/2023 02:25:02 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 |  | Connexion to TeamServer
23/09/2023 02:25:03 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 |  | Connexion to TeamServer
23/09/2023 02:29:24 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | FK07DIHRF0 | Command tasked to agent : Shell
23/09/2023 02:29:31 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | FK07DIHRF0 | Command tasked to agent : Shell
23/09/2023 02:29:44 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | FK07DIHRF0 | Command tasked to agent : Shell
23/09/2023 02:29:52 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | FK07DIHRF0 | Command tasked to agent : Whoami
23/09/2023 02:30:10 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | FK07DIHRF0 | Command tasked to agent : Exit
23/09/2023 02:59:28 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | FK07DIHRF0 | Command tasked to agent : Exit
23/09/2023 02:59:44 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | OJWKHAWGY8 | Command tasked to agent : Shell
23/09/2023 02:59:55 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | OJWKHAWGY8 | Command tasked to agent : Whoami
