27/07/2023 09:08:17 | Info | User | Fropops-ac5f633b-b511-4365-b2ca-706bf4631f9b |  | Connexion to TeamServer
27/07/2023 09:08:18 | Info | User | Fropops-ac5f633b-b511-4365-b2ca-706bf4631f9b |  | Connexion to TeamServer
27/07/2023 09:09:38 | Info | User | Fropops-ac5f633b-b511-4365-b2ca-706bf4631f9b | 6223d97152 | Command tasked to agent : Link
27/07/2023 09:12:48 | Info | User | Fropops-ac5f633b-b511-4365-b2ca-706bf4631f9b | 6223d97152 | Command tasked to agent : Link
27/07/2023 09:15:06 | Info | User | Fropops-ac5f633b-b511-4365-b2ca-706bf4631f9b | 6223d97152 | Command tasked to agent : Link
27/07/2023 09:15:59 | Info | User | Fropops-ac5f633b-b511-4365-b2ca-706bf4631f9b | 6223d97152 | Command tasked to agent : Link
27/07/2023 09:16:42 | Info | User | Fropops-ac5f633b-b511-4365-b2ca-706bf4631f9b | 6223d97152 | Command tasked to agent : Link
27/07/2023 09:17:21 | Info | User | Fropops-ac5f633b-b511-4365-b2ca-706bf4631f9b | 6223d97152 | Command tasked to agent : Link
27/07/2023 09:19:17 | Info | User | Fropops-82272547-27f4-4e22-b940-dfed2c9edd1e |  | Connexion to TeamServer
27/07/2023 09:19:18 | Info | User | Fropops-82272547-27f4-4e22-b940-dfed2c9edd1e |  | Connexion to TeamServer
27/07/2023 09:19:30 | Info | User | Fropops-82272547-27f4-4e22-b940-dfed2c9edd1e | 1da3686d81 | Command tasked to agent : Link
27/07/2023 09:20:07 | Info | User | Fropops-82272547-27f4-4e22-b940-dfed2c9edd1e | 1da3686d81 | Command tasked to agent : Link
27/07/2023 09:20:53 | Info | User | Fropops-d3143b41-298c-4a2f-9fbf-35b3ea2cf1e8 |  | Connexion to TeamServer
27/07/2023 09:20:54 | Info | User | Fropops-d3143b41-298c-4a2f-9fbf-35b3ea2cf1e8 |  | Connexion to TeamServer
27/07/2023 09:21:07 | Info | User | Fropops-d3143b41-298c-4a2f-9fbf-35b3ea2cf1e8 | e1ba96dc03 | Command tasked to agent : Link
27/07/2023 09:21:41 | Info | User | Fropops-d3143b41-298c-4a2f-9fbf-35b3ea2cf1e8 | e1ba96dc03 | Command tasked to agent : Link
27/07/2023 09:35:01 | Info | User | Fropops-10c05ee7-2c07-4866-8e77-74afa4bd8109 |  | Connexion to TeamServer
27/07/2023 09:35:02 | Info | User | Fropops-10c05ee7-2c07-4866-8e77-74afa4bd8109 |  | Connexion to TeamServer
27/07/2023 09:35:22 | Info | User | Fropops-10c05ee7-2c07-4866-8e77-74afa4bd8109 | 53fdcba471 | Command tasked to agent : Link
27/07/2023 09:36:40 | Info | User | Fropops-d232261b-9618-426f-b4cf-d1ed7f652429 |  | Connexion to TeamServer
27/07/2023 09:36:41 | Info | User | Fropops-d232261b-9618-426f-b4cf-d1ed7f652429 |  | Connexion to TeamServer
27/07/2023 09:36:59 | Info | User | Fropops-d232261b-9618-426f-b4cf-d1ed7f652429 | 1bbdc747e8 | Command tasked to agent : Link
27/07/2023 09:37:54 | Info | User | Fropops-d232261b-9618-426f-b4cf-d1ed7f652429 | 1bbdc747e8 | Command tasked to agent : Link
27/07/2023 09:39:15 | Info | User | Fropops-32fa4adb-b5ba-4b90-99ef-05b7635859ee |  | Connexion to TeamServer
27/07/2023 09:39:16 | Info | User | Fropops-32fa4adb-b5ba-4b90-99ef-05b7635859ee |  | Connexion to TeamServer
27/07/2023 09:39:25 | Info | User | Fropops-32fa4adb-b5ba-4b90-99ef-05b7635859ee | 0ff54e36a9 | Command tasked to agent : Link
27/07/2023 09:41:50 | Info | User | Fropops-c90ad75d-20bd-4bf9-89d4-b04863b7f91f |  | Connexion to TeamServer
27/07/2023 09:41:51 | Info | User | Fropops-c90ad75d-20bd-4bf9-89d4-b04863b7f91f |  | Connexion to TeamServer
27/07/2023 09:42:13 | Info | User | Fropops-c90ad75d-20bd-4bf9-89d4-b04863b7f91f | 84f993ce7d | Command tasked to agent : Link
27/07/2023 09:43:47 | Info | User | Fropops-c90ad75d-20bd-4bf9-89d4-b04863b7f91f | 95117776f4 | Command tasked to agent : Shell
27/07/2023 09:47:31 | Info | User | Fropops-a969dd7d-583a-48f6-b600-711d4537bfb2 |  | Connexion to TeamServer
27/07/2023 09:47:32 | Info | User | Fropops-a969dd7d-583a-48f6-b600-711d4537bfb2 |  | Connexion to TeamServer
27/07/2023 09:48:01 | Info | User | Fropops-a969dd7d-583a-48f6-b600-711d4537bfb2 | a33e0f286c | Command tasked to agent : Link
27/07/2023 09:53:50 | Info | User | Fropops-65a7c8c0-d344-45f6-8f7d-be7de817afa0 |  | Connexion to TeamServer
27/07/2023 09:53:51 | Info | User | Fropops-65a7c8c0-d344-45f6-8f7d-be7de817afa0 |  | Connexion to TeamServer
27/07/2023 09:54:23 | Info | User | Fropops-65a7c8c0-d344-45f6-8f7d-be7de817afa0 | 3a3123b569 | Command tasked to agent : Link
27/07/2023 09:56:16 | Info | User | Fropops-bce867a3-9c9b-4690-887f-1e4cf2f6438a |  | Connexion to TeamServer
27/07/2023 09:56:17 | Info | User | Fropops-bce867a3-9c9b-4690-887f-1e4cf2f6438a |  | Connexion to TeamServer
27/07/2023 09:56:38 | Info | User | Fropops-bce867a3-9c9b-4690-887f-1e4cf2f6438a | 317791779d | Command tasked to agent : Link
27/07/2023 09:57:52 | Info | User | Fropops-8dfa1274-3422-41e3-9a12-3329dd566f2e |  | Connexion to TeamServer
27/07/2023 09:57:53 | Info | User | Fropops-8dfa1274-3422-41e3-9a12-3329dd566f2e |  | Connexion to TeamServer
27/07/2023 09:58:06 | Info | User | Fropops-8dfa1274-3422-41e3-9a12-3329dd566f2e | 552c32f1f0 | Command tasked to agent : Link
27/07/2023 09:59:33 | Info | User | Fropops-1778d6cc-f4fa-46b2-90fc-d51c7596654c |  | Connexion to TeamServer
27/07/2023 09:59:34 | Info | User | Fropops-1778d6cc-f4fa-46b2-90fc-d51c7596654c |  | Connexion to TeamServer
27/07/2023 09:59:57 | Info | User | Fropops-1778d6cc-f4fa-46b2-90fc-d51c7596654c | c751cbc609 | Command tasked to agent : Link
27/07/2023 10:10:37 | Info | User | Fropops-12a3db0d-4871-4ed3-aebc-ac122986c256 |  | Connexion to TeamServer
27/07/2023 10:10:38 | Info | User | Fropops-12a3db0d-4871-4ed3-aebc-ac122986c256 |  | Connexion to TeamServer
27/07/2023 10:11:09 | Info | User | Fropops-12a3db0d-4871-4ed3-aebc-ac122986c256 | ee590ffc28 | Command tasked to agent : Link
27/07/2023 10:13:17 | Info | User | Fropops-ac222107-4deb-4d09-80aa-c1141493fb4c |  | Connexion to TeamServer
27/07/2023 10:13:18 | Info | User | Fropops-ac222107-4deb-4d09-80aa-c1141493fb4c |  | Connexion to TeamServer
27/07/2023 10:13:37 | Info | User | Fropops-ac222107-4deb-4d09-80aa-c1141493fb4c | 31662ef53c | Command tasked to agent : Link
27/07/2023 10:19:03 | Info | User | Fropops-5068aa50-08e5-4bab-b35c-4317efcf2095 |  | Connexion to TeamServer
27/07/2023 10:19:04 | Info | User | Fropops-5068aa50-08e5-4bab-b35c-4317efcf2095 |  | Connexion to TeamServer
27/07/2023 10:20:31 | Info | User | Fropops-75c1eb8a-a23c-4445-87d5-e07b731b9e39 |  | Connexion to TeamServer
27/07/2023 10:20:32 | Info | User | Fropops-75c1eb8a-a23c-4445-87d5-e07b731b9e39 |  | Connexion to TeamServer
27/07/2023 10:20:57 | Info | User | Fropops-75c1eb8a-a23c-4445-87d5-e07b731b9e39 | 8c940ad684 | Command tasked to agent : Link
27/07/2023 10:41:52 | Info | User | Fropops-0f665ac9-3a15-4ba3-aad3-f2275eb59ac7 |  | Connexion to TeamServer
27/07/2023 10:41:53 | Info | User | Fropops-0f665ac9-3a15-4ba3-aad3-f2275eb59ac7 |  | Connexion to TeamServer
27/07/2023 10:42:13 | Info | User | Fropops-0f665ac9-3a15-4ba3-aad3-f2275eb59ac7 | f4f69ed7b9 | Command tasked to agent : Link
27/07/2023 10:43:00 | Info | User | Fropops-0f665ac9-3a15-4ba3-aad3-f2275eb59ac7 | 96be57c4db | Command tasked to agent : Whoami
27/07/2023 10:48:47 | Info | User | Fropops-c8b3f43c-5016-40c1-8f31-792be7aab3b6 |  | Connexion to TeamServer
27/07/2023 10:48:48 | Info | User | Fropops-c8b3f43c-5016-40c1-8f31-792be7aab3b6 |  | Connexion to TeamServer
27/07/2023 10:49:15 | Info | User | Fropops-c8b3f43c-5016-40c1-8f31-792be7aab3b6 | 5cba663df5 | Command tasked to agent : Link
27/07/2023 10:49:36 | Info | User | Fropops-c8b3f43c-5016-40c1-8f31-792be7aab3b6 | 40aaf06475 | Command tasked to agent : Whoami
27/07/2023 10:49:49 | Info | User | Fropops-c8b3f43c-5016-40c1-8f31-792be7aab3b6 | 40aaf06475 | Command tasked to agent : Shell
