27/09/2023 02:28:37 | Info | User | Fropops-aad90141-1775-4386-ba8e-5bb2cba5aeca | MI2RKVGIL3 | Command tasked to agent : Ls
27/09/2023 02:30:15 | Info | User | Fropops-aad90141-1775-4386-ba8e-5bb2cba5aeca | DODKS4DSW9 | Command tasked to agent : Ls
27/09/2023 02:31:29 | Info | User | Fropops-aad90141-1775-4386-ba8e-5bb2cba5aeca | MBCEWHIJ22 | Command tasked to agent : Ls
27/09/2023 02:31:59 | Info | User | Fropops-aad90141-1775-4386-ba8e-5bb2cba5aeca | MBCEWHIJ22 | Command tasked to agent : Ls
27/09/2023 02:32:20 | Info | User | Fropops-aad90141-1775-4386-ba8e-5bb2cba5aeca | MBCEWHIJ22 | Command tasked to agent : Ls
27/09/2023 02:34:55 | Info | User | Fropops-aad90141-1775-4386-ba8e-5bb2cba5aeca | VZGP9VXF05 | Command tasked to agent : Ls
27/09/2023 02:37:39 | Info | User | Fropops-aad90141-1775-4386-ba8e-5bb2cba5aeca | HD0EVXF5M8 | Command tasked to agent : Ls
27/09/2023 02:39:27 | Info | User | Fropops-aad90141-1775-4386-ba8e-5bb2cba5aeca | J8KKYNSOKK | Command tasked to agent : Ls
27/09/2023 02:41:00 | Info | User | Fropops-aad90141-1775-4386-ba8e-5bb2cba5aeca | VQQP6FWLGB | Command tasked to agent : Ls
27/09/2023 02:41:14 | Info | User | Fropops-aad90141-1775-4386-ba8e-5bb2cba5aeca | VQQP6FWLGB | Command tasked to agent : Ls
27/09/2023 02:41:40 | Info | User | Fropops-aad90141-1775-4386-ba8e-5bb2cba5aeca | VQQP6FWLGB | Command tasked to agent : Pwd
27/09/2023 02:42:06 | Info | User | Fropops-aad90141-1775-4386-ba8e-5bb2cba5aeca | VQQP6FWLGB | Command tasked to agent : Exit
27/09/2023 03:09:38 | Info | User | Fropops-aad90141-1775-4386-ba8e-5bb2cba5aeca | VQQP6FWLGB | Command tasked to agent : Exit
27/09/2023 03:09:44 | Info | User | Fropops-aad90141-1775-4386-ba8e-5bb2cba5aeca | UYZPK7E2O7 | Command tasked to agent : Ls
27/09/2023 03:09:45 | Info | User | Fropops-aad90141-1775-4386-ba8e-5bb2cba5aeca | UYZPK7E2O7 | Command tasked to agent : Pwd
27/09/2023 03:09:58 | Info | User | Fropops-aad90141-1775-4386-ba8e-5bb2cba5aeca | UYZPK7E2O7 | Command tasked to agent : Del
27/09/2023 03:10:18 | Info | User | Fropops-aad90141-1775-4386-ba8e-5bb2cba5aeca | UYZPK7E2O7 | Command tasked to agent : Del
27/09/2023 03:12:35 | Info | User | Fropops-aad90141-1775-4386-ba8e-5bb2cba5aeca | UYZPK7E2O7 | Command tasked to agent : MkDir
27/09/2023 03:12:41 | Info | User | Fropops-aad90141-1775-4386-ba8e-5bb2cba5aeca | UYZPK7E2O7 | Command tasked to agent : Ls
27/09/2023 03:12:45 | Info | User | Fropops-aad90141-1775-4386-ba8e-5bb2cba5aeca | UYZPK7E2O7 | Command tasked to agent : Del
27/09/2023 03:13:07 | Info | User | Fropops-aad90141-1775-4386-ba8e-5bb2cba5aeca | UYZPK7E2O7 | Command tasked to agent : Exit
27/09/2023 03:13:08 | Info | User | Fropops-aad90141-1775-4386-ba8e-5bb2cba5aeca |  | Exit TeamServer
27/09/2023 03:13:54 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a |  | Connexion to TeamServer
27/09/2023 03:13:55 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a |  | Connexion to TeamServer
27/09/2023 03:14:20 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | OIS8Y3UTEW | Command tasked to agent : RmDir
27/09/2023 03:14:30 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | OIS8Y3UTEW | Command tasked to agent : Ls
27/09/2023 03:14:47 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | OIS8Y3UTEW | Command tasked to agent : RmDir
27/09/2023 03:15:01 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | OIS8Y3UTEW | Command tasked to agent : Shell
27/09/2023 03:15:03 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | OIS8Y3UTEW | Command tasked to agent : RmDir
27/09/2023 03:15:39 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | OIS8Y3UTEW | Command tasked to agent : RmDir
27/09/2023 03:17:21 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | KCF7PHLJAC | Command tasked to agent : RmDir
27/09/2023 04:00:44 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | OB6UH7M6YY | Command tasked to agent : RmDir
27/09/2023 04:00:51 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | OB6UH7M6YY | Command tasked to agent : RmDir
27/09/2023 04:00:57 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | OB6UH7M6YY | Command tasked to agent : Ls
27/09/2023 04:01:35 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | GFUQ8EWK2Z | Command tasked to agent : RmDir
27/09/2023 04:08:00 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | NQZ72Y3D8L | Command tasked to agent : RmDir
27/09/2023 04:08:19 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | NQZ72Y3D8L | Command tasked to agent : RmDir
27/09/2023 04:09:18 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | R2S43ZIJOS | Command tasked to agent : RmDir
27/09/2023 04:10:01 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | ZB39Q4C2XH | Command tasked to agent : RmDir
27/09/2023 04:10:29 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | ZB39Q4C2XH | Command tasked to agent : RmDir
27/09/2023 04:11:10 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | D9415XPA6O | Command tasked to agent : RmDir
27/09/2023 04:18:50 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | HNQ30UDI44 | Command tasked to agent : RmDir
27/09/2023 04:19:55 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | ZWBPN893Z9 | Command tasked to agent : RmDir
27/09/2023 04:20:38 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | MTQVDD8EP9 | Command tasked to agent : RmDir
27/09/2023 04:21:54 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | F6L6OHRXHE | Command tasked to agent : RmDir
27/09/2023 04:23:24 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | OU94A4L3MO | Command tasked to agent : RmDir
27/09/2023 04:26:07 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | W4QZMJBZ96 | Command tasked to agent : Ls
27/09/2023 04:26:23 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | W4QZMJBZ96 | Command tasked to agent : Shell
27/09/2023 04:26:28 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | W4QZMJBZ96 | Command tasked to agent : Ls
27/09/2023 04:26:38 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | W4QZMJBZ96 | Command tasked to agent : RmDir
27/09/2023 04:26:46 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | W4QZMJBZ96 | Command tasked to agent : Del
27/09/2023 04:26:52 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | W4QZMJBZ96 | Command tasked to agent : Ls
27/09/2023 04:26:59 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | W4QZMJBZ96 | Command tasked to agent : Del
27/09/2023 04:27:02 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | W4QZMJBZ96 | Command tasked to agent : Cd
27/09/2023 04:27:03 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | W4QZMJBZ96 | Command tasked to agent : Ls
27/09/2023 04:27:10 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | W4QZMJBZ96 | Command tasked to agent : RmDir
27/09/2023 04:27:21 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | W4QZMJBZ96 | Command tasked to agent : Cd
27/09/2023 04:27:24 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | W4QZMJBZ96 | Command tasked to agent : RmDir
27/09/2023 04:27:34 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | W4QZMJBZ96 | Command tasked to agent : Ls
27/09/2023 05:43:20 | Info | User | Fropops-5b1a5a13-42ca-4105-923b-1e52fa92221a | TOL5F9PUFQ | Command tasked to agent : Exit
