29/07/2023 08:00:20 | Info | User | Fropops-ccfc4857-d3bd-44dd-bf68-6fcd512d27fb |  | Connexion to TeamServer
29/07/2023 08:00:21 | Info | User | Fropops-ccfc4857-d3bd-44dd-bf68-6fcd512d27fb |  | Connexion to TeamServer
29/07/2023 08:00:31 | Info | User | Fropops-ccfc4857-d3bd-44dd-bf68-6fcd512d27fb | 9fdb8f4dc5 | Command tasked to agent : ListProcess
29/07/2023 08:01:17 | Info | User | Fropops-ccfc4857-d3bd-44dd-bf68-6fcd512d27fb | 9fdb8f4dc5 | Command tasked to agent : ListProcess
29/07/2023 08:03:05 | Info | User | Fropops-af202f09-3c73-4a71-b52b-4dbde5f597ca |  | Connexion to TeamServer
29/07/2023 08:03:06 | Info | User | Fropops-af202f09-3c73-4a71-b52b-4dbde5f597ca |  | Connexion to TeamServer
29/07/2023 08:03:12 | Info | User | Fropops-af202f09-3c73-4a71-b52b-4dbde5f597ca | 007492d27f | Command tasked to agent : ListProcess
29/07/2023 08:04:31 | Info | User | Fropops-af202f09-3c73-4a71-b52b-4dbde5f597ca | 007492d27f | Command tasked to agent : ListProcess
29/07/2023 08:04:49 | Info | User | Fropops-af202f09-3c73-4a71-b52b-4dbde5f597ca |  | Exit TeamServer
29/07/2023 08:25:04 | Info | User | Fropops-40ecc5f3-e71e-4abf-9053-931331458885 |  | Connexion to TeamServer
29/07/2023 08:25:05 | Info | User | Fropops-40ecc5f3-e71e-4abf-9053-931331458885 |  | Connexion to TeamServer
29/07/2023 08:27:01 | Info | User | Fropops-51958b63-b7db-4809-9884-321a041b2819 |  | Connexion to TeamServer
29/07/2023 08:27:02 | Info | User | Fropops-51958b63-b7db-4809-9884-321a041b2819 |  | Connexion to TeamServer
29/07/2023 08:27:04 | Info | User | Fropops-51958b63-b7db-4809-9884-321a041b2819 | 1f845747ca | Command tasked to agent : ListProcess
29/07/2023 08:27:39 | Info | User | Fropops-51958b63-b7db-4809-9884-321a041b2819 | 1f845747ca | Command tasked to agent : Exit
29/07/2023 08:35:20 | Info | User | Fropops-51958b63-b7db-4809-9884-321a041b2819 | 1f845747ca | Command tasked to agent : Exit
29/07/2023 08:35:25 | Info | User | Fropops-51958b63-b7db-4809-9884-321a041b2819 |  | Exit TeamServer
29/07/2023 08:44:14 | Info | User | Fropops-b8603637-7587-46c3-a4fa-8ab3f435ecfd |  | Connexion to TeamServer
29/07/2023 08:44:15 | Info | User | Fropops-b8603637-7587-46c3-a4fa-8ab3f435ecfd |  | Connexion to TeamServer
29/07/2023 08:45:20 | Info | User | Fropops-075bce95-79d3-433a-aa98-9694b1e24f65 |  | Connexion to TeamServer
29/07/2023 08:45:21 | Info | User | Fropops-075bce95-79d3-433a-aa98-9694b1e24f65 |  | Connexion to TeamServer
